number,title,user,labels,created_at,updated_at,closed_at,body
50421,"Using `:destroy_async` with `has_many` causes `delete_all` to default to nullify, leading to foreign key errors",ZempTime,,2023-12-21T15:53:45Z,2023-12-21T21:54:48Z,2023-12-21T21:54:48Z,"### Steps to reproduce
```ruby
# frozen_string_literal: true

require ""bundler/inline""

gemfile(true) do
  source ""https://rubygems.org""

  git_source(:github) { |repo| ""https://github.com/#{repo}.git"" }

  gem ""rails""
  # If you want to test against edge Rails replace the previous line with this:
  # gem ""rails"", github: ""rails/rails"", branch: ""main""

  gem ""sqlite3""
end

require ""active_record""
require ""active_job/railtie""
require ""minitest/autorun""
require ""logger""

# This connection will do for database-independent bug reports.
ActiveRecord::Base.establish_connection(adapter: ""sqlite3"", database: "":memory:"")
ActiveRecord::Base.logger = Logger.new(STDOUT)

ActiveRecord::Schema.define do
  create_table :posts, force: true do |t|
  end

  create_table :comments, force: true do |t|
    t.references :post, foreign_key: true, null: false
  end
end

class Post < ActiveRecord::Base
  has_many :comments, dependent: :destroy_async
end

class Comment < ActiveRecord::Base
  belongs_to :post
end

class BugTest < Minitest::Test
  def test_association_stuff
    post = Post.create!
    post.comments << Comment.create!
    
    # The following assertion will fail with:
    # ActiveRecord::NotNullViolation: SQLite3::ConstraintException: NOT NULL constraint failed: comments.post_id
    post.comments.delete_all

    assert_equal 0, post.comments.count
    assert_equal 0, Comment.count
  end
end
```

### Expected behavior
I'd expect `delete_all` to delete the table records without invoking any callbacks, and not default to the nullification strategy.

If this is the expected behavior, we'll want to add `:destroy_async` as one of the conditions here:
https://github.com/rails/rails/blob/18b8f37192430c1f468551d1006b90430dd8d61a/activerecord/lib/active_record/associations/collection_association.rb#L155

### Actual behavior
`delete_all` will nullify the foreign key, causing a foreign key error which aborts the transaction.

### System configuration
**Rails version**: 7.0.8

**Ruby version**: 3.2.2

### Other relevant facts

One of the main reasons to use `dependent: :destroy_async` is to manage situations where a record has many other related records and destroying those in the background can prevent request timeouts or out of memory errors (ex: 7.1 adds [batching](https://github.com/rails/rails/pull/44617) support).

I ran into this behavior in our tests. The resolution was explicitly specifying `delete_all(:delete_all)`. I didn't expect `delete_all` to raise this error because I'm explicitly calling it and want to sidestep all the callbacks/running background jobs for test state setup. I'm guessing this is how and where most people might run into this behavior.

In the documentation [here](https://edgeguides.rubyonrails.org/association_basics.html), there is a note:

> :destroy_async: when the object is destroyed, an ActiveRecord::DestroyAssociationAsyncJob job is enqueued which will call destroy on its associated objects. Active Job must be set up for this to work. Do not use this option if the association is backed by foreign key constraints in your database. The foreign key constraint actions will occur inside the same transaction that deletes its owner.

However since `delete_all` skips callbacks, I don't think this applies.

I understand that the current behavior might be intentional, but if it's determined to be an oversight and there's interest in updating it, I would be more than happy to get a pr together for this. Please let me know what would be helpful."
50420,Doc: Prevent `Attributes` to be a link [ci-skip] (#50419),p8,activerecord,2023-12-21T15:52:43Z,2023-12-21T15:53:27Z,2023-12-21T15:53:23Z,
50419,Doc: Prevent `Attributes` to be a link [ci-skip],okuramasafumi,activerecord,2023-12-21T15:38:53Z,2023-12-21T17:21:58Z,2023-12-21T15:51:20Z,"<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->

### Motivation / Background

<!--
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
If you are fixing a specific issue, include ""Fixes #ISSUE"" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.
-->

https://api.rubyonrails.org/classes/ActiveRecord/DelegatedType.html

`Attributes` is a link to https://api.rubyonrails.org/classes/ActiveRecord/Attributes.html but this is not correct.

### Detail

This Pull Request prevents `Attributes` to be a link.

### Additional information

<!-- Provide additional information such as benchmarks, reference to other repositories or alternative solutions. -->

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50418,Use buffered read while generating Blob checksum to improve memory,the-spectator,activestorage,2023-12-21T14:54:58Z,2023-12-22T03:14:08Z,,"<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->

### Motivation / Background

<!--
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
If you are fixing a specific issue, include ""Fixes #ISSUE"" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.
-->
While debugging the memory issue in our app, we noticed that a large amount of strings were generated and then thrown away when uploading the file. It was done while generating the checksum for the blob.

### Detail

Optimize memory utilization by using a buffer while reading in chunks.

### Additional information

<!-- Provide additional information such as benchmarks, reference to other repositories or alternative solutions. -->

Benchmark on a new rails project, while uploading 500 mb file on disk storage.

Before:
```
Total allocated: 527552462 bytes (24333 objects)
Total retained:  460335 bytes (3386 objects)
```

After:
```
Total allocated: 8503524 bytes (24239 objects)
Total retained:  460367 bytes (3386 objects)
```
### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [ ] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [ ] Tests are added or updated if you fix a bug or add a feature.
* [ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50417,Add `to_sql` support for calculation methods like `count`,p8,activerecord,2023-12-21T10:53:01Z,2023-12-21T20:20:36Z,,"### Motivation / Background

As the calculation methods directly return a result, it's not possible to call `to_sql` on the query.

By allowing `to_sql` to take an operation and column name as argument we can return the SQL:

```ruby
User.all.to_sql(:count)
# => ""SELECT COUNT(*) FROM `users`""

User.all.to_sql(:maximum, :id)
# => ""SELECT MAX(`users`.`id`) FROM `users`""
```

### Additional information

Combining `count` with a `group` is not yet supported.
I'd like to add the same functionality to `explain`.
Related issue adding `:delete_all`: https://github.com/rails/rails/pull/37975

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50415,I want to optimize rake commands on CI,alpaca-tc,,2023-12-21T06:25:39Z,2023-12-21T06:57:51Z,2023-12-21T06:53:53Z,"### Steps to reproduce

The default Rails configuration runs `eager_load!` in the test environment when `ENV['CI']` is enabled.
https://github.com/rails/rails/blob/155ec68/railties/lib/rails/generators/rails/app/templates/config/environments/test.rb.tt#L18
This setting is fine for running all tests, but is an inadequate setting value for running some rake commands.

For example, when running tests in CI, almost all projects will use `./bin/rake db:setup` and so on.
There are few cases where eager_load is effective for running this command.
In my opinion is that the default value should be a setting that does not call `eager_load!` to run tasks like `db:setup`.
However, this is not a significant problem, as it can be customized individually for each application. So this issue can be closed.

If you have any suggestions, please comment.

### System configuration
**Rails version**: main
"
50414,Improve Action Text System Test coverage,seanpdoyle,actiontext,2023-12-21T01:41:54Z,2023-12-21T01:41:58Z,,"### Motivation / Background

Introduce the `ActionText::RichTextEditorTest` to exercise Action Text's integration with Active Storage. First, assert that Action Text renders an Active Storage blob preview of the image within the `<trix-editor>` element prior to persisting the rich-text record. Next, assert that Active Storage renders the uploaded file within the rendered rich-text content.

### Detail

In addition to expanding System Test coverage, this commit also alters the existing `ActionText::SystemTestHelperTest` coverage to utilize Capybara's built-in [:element][] selector as an alternative to CSS. The `:element` selector supports arbitrary keyword arguments as HTML attribute filters. For example, `input: true` as a filter translates to asserting the presence of any `[input]` attribute. Similarly, it enables assertions with Ruby strings instead of interpolating Ruby strings **into** CSS selectors.

[:element]: https://rubydoc.info/github/teamcapybara/capybara/master/Capybara/Selector

### Additional information

Related to https://github.com/rails/rails/pull/49527 and https://github.com/rails/rails/pull/46807.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50413,Wrong Ruby Version in Gemfile,VSPPedro,,2023-12-21T00:44:58Z,2023-12-21T19:33:02Z,2023-12-21T17:20:15Z,"### Steps to reproduce

1. Install ruby 3.0.3-rc1.
2. Create a new rails project using  7.0.8: `rails _7.0.8_ new project`
3. Result:

```
     ...
      create  tmp/storage
      create  tmp/storage/.keep
      remove  config/initializers/cors.rb
      remove  config/initializers/new_framework_defaults_7_0.rb
      run  bundle install
      Your Ruby version is 3.3.0.rc1, but your Gemfile specified 3.3.0
```

### Expected behavior
The ruby version in the Gemfile should be 3.3.0-rc1.

### Actual behavior
The ruby version in the Gemfile is 3.3.0. Because of that it raises an error:

`Your Ruby version is 3.3.0.rc1, but your Gemfile specified 3.3.0`

### System configuration
**Rails version**: 7.0.8
**Ruby version**: 3.3.0-rc-1


### Context
I'm working on updating tests for a Ruby library, and the CI is trying to run Rails using different Ruby versions. I'm thinking about whether I should skip this scenario.

Thank you for everything. You guys are the best!"
50412,Fix `find_by` for finding by associations with composite primary keys,fatkodima,activerecord,2023-12-21T00:17:06Z,2023-12-21T21:46:25Z,,"Fixes #50411.

Array values are ignored in line 281 in `StatementCache.unsupported_value?(value)` so we can safely just skip array primary keys."
50411,`find_by` is broken when passing an instance that uses composite primary keys,claracodes,"activerecord, attached PR, With reproduction steps",2023-12-20T22:27:50Z,2023-12-21T08:36:20Z,,"Big thanks for adding support for composite primary keys. We’ve implemented them and seen big performance gains - we’re using them on partitioned tables! 
However, `find_by` seems to be broken when trying to pass in an instance that uses composite primary keys.

```ruby
# frozen_string_literal: true

require ""bundler/inline""

gemfile(true) do
  source ""https://rubygems.org""

  gem ""activerecord"", ""7.1.2""
  gem ""sqlite3""
end

require ""active_record""
require ""minitest/autorun""
require ""logger""

# This connection will do for database-independent bug reports.
ActiveRecord::Base.establish_connection(adapter: ""sqlite3"", database: "":memory:"")
ActiveRecord::Base.logger = Logger.new(STDOUT)

ActiveRecord::Schema.define do
  create_table :users, primary_key: [:id, :company_id], force: true do |t|
    t.integer :id
    t.integer :company_id
  end

  create_table :profiles, primary_key: :id, force: true do |t|
    t.integer :user_id
    t.integer :company_id
  end
end

class User < ActiveRecord::Base
  has_one :profile
end

class Profile < ActiveRecord::Base
  belongs_to :user, query_constraints: [:user_id, :company_id]
end

class BugTest < Minitest::Test
  def test_find_by
    user = User.create!(id: [1, 1])
    profile = Profile.create(id: 1, user_id: 1, company_id: 1)

    assert_equal profile, Profile.find_by(user: user)
  end
end
```"
50410,Fix async queries to work with query cache,fatkodima,activerecord,2023-12-20T21:52:06Z,2023-12-21T10:11:49Z,2023-12-21T09:53:33Z,"Fixes #50399.

cc @byroot (as implementor of async queries)"
50409,Generates wrong sql query for infinite date ranges,owen2345,,2023-12-20T19:41:28Z,2023-12-20T19:46:11Z,2023-12-20T19:46:10Z,"### Steps to reproduce
<!-- (Guidelines for creating a bug report are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#creating-a-bug-report)) -->

<!-- Paste your executable test case created from one of the scripts found [here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#create-an-executable-test-case) below: -->
```ruby
Patient.where(created_at: Date.today..).to_sql
=> ""SELECT \""patients\"".* FROM \""patients\"" WHERE \""patients\"".\""created_at\"" >= '2023-12-20'""
Patient.where(created_at: Date.today...).to_sql
=> ""SELECT \""patients\"".* FROM \""patients\"" WHERE \""patients\"".\""created_at\"" >= '2023-12-20'""
Patient.where(created_at: ..Date.today).to_sql
=> ""SELECT \""patients\"".* FROM \""patients\"" WHERE \""patients\"".\""created_at\"" <= '2023-12-20'""
Patient.where(created_at: ...Date.today).to_sql
=> ""SELECT \""patients\"".* FROM \""patients\"" WHERE \""patients\"".\""created_at\"" < '2023-12-20'""
```

### Expected behavior
The expected behavior for the second example is `created_at > '2023-12-20'` without equal (excluding the first day) similar to the fourth one.

### Actual behavior
The resulting query is not excluding the first date.

### System configuration
**Rails version**:
- Rails 7.1
- Also tried in Rails 6.1

**Ruby version**:
- ruby 3.1.4p223 (2023-03-30 revision 957bb7cb81) [x86_64-linux]
- Also tried in 2.6
"
50408,Fix ensuring 7.2 defaults listed in configuring,skipkayhil,docs,2023-12-20T19:04:06Z,2023-12-21T22:20:20Z,,"Previously, because the 7.2 header was missing from configuring.md, railspect was not checking that newly introduced 7.2 framework defaults are listed.

This commit adds the header to ensure they get checked, and then also fixes an issue that occurs if a versioned section has no defaults listed.
"
50407,Fix NFD for add_autoload_paths_to_load_path,skipkayhil,railties,2023-12-20T18:44:00Z,2023-12-21T22:40:15Z,,"### Motivation / Background

Previously, this value was listed as a regular configuration that could be applied by uncommenting a line in new_framework_defaults. However, the autoloader is configured before initializers run so configuring this value here will have no effect.

### Detail

This commit fixes the issue by suggesting to add the configuration to config/application.rb instead of new_framework_defaults.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50406,Change `active_model.i18n_customize_full_message` default from `false` to `true`,stevepolitodesign,"activemodel, railties, docs",2023-12-20T13:18:26Z,2023-12-20T13:21:12Z,,"### Motivation / Background

Follow-up to #32956 and #35789

The introduction of this configuration in #32956 stated that:

> The goal of this PR is to make it easier for an app to transition from
a #{attribute} #{message} to a #{message}, full_message error format.

However, because the default value was set to `false`, this feature was difficult to discover.

Moving forward, consumers will be able to [override the format of an individual attribute](https://guides.rubyonrails.org/configuring.html#config-active-model-i18n-customize-full-message) by default.

```yml
en:
  activemodel: # or activerecord:
    errors:
      models:
        person:
          # Override the format for all Person attributes:
          format: ""Invalid %{attribute} (%{message})""
          attributes:
            age:
              # Override the format for the age attribute:
              format: ""%{message}""
              blank: ""Please fill in your %{attribute}""
```

### Detail

`config.active_model.i18n_customize_full_message` defaults to `true` for `config.load_defaults 7.2` and above

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50405,"Add condensed #inspect for Pool, Adapter, Config",skipkayhil,activerecord,2023-12-20T04:21:25Z,2023-12-20T04:25:17Z,,"### Motivation / Background

Previously, it was very easy to accidentally leak a database password in production logs if an error ends up calling inspect on a ConnectionPool or an individual connection (Adapter). This is due to the default `#inspect` output for Pools and Adapters being unnecessarily large, and both currently including passwords (through the DatabaseConfig of a Pool, and the internal configuration of an Adapter).

### Detail

This commit addresses these issues by defining a custom `#inspect` for ConnectionPool, AbstractAdapter, and DatabaseConfig. The condensed `#inspect` only includes a few valuable fields instead of all of the internals, which prevents both the large output and passwords from being included.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Changes that are unrelated should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
50404,Bump `psych` gem to 5.1.2,jonathanhefner,,2023-12-20T00:09:39Z,2023-12-20T00:33:48Z,2023-12-20T00:33:48Z,"This fixes the following [error](https://buildkite.com/rails/rails/builds/102870#018c8481-6fcf-4984-9633-0cc0a426a4f7/1188-1253) for the guides build:

  ```
  Traceback (most recent call last):
    13: from bug_report_templates/action_controller.rb:5:in `<main>'
    12: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/inline.rb:42:in `gemfile'
    11: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler.rb:403:in `with_unbundled_env'
    10: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler.rb:649:in `with_env'
     9: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler.rb:403:in `block in with_unbundled_env'
     8: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/inline.rb:51:in `block in gemfile'
     7: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/settings.rb:142:in `temporary'
     6: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/inline.rb:66:in `block (2 levels) in gemfile'
     5: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/runtime.rb:24:in `setup'
     4: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/runtime.rb:24:in `map'
     3: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/spec_set.rb:165:in `each'
     2: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/spec_set.rb:165:in `each'
     1: from /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/runtime.rb:25:in `block in setup'
  /usr/local/bundle/gems/bundler-2.4.22/lib/bundler/runtime.rb:304:in `check_for_activated_spec!': You have already activated psych 5.1.1.1, but your Gemfile requires psych 5.1.2. Prepending `bundle exec` to your command may solve this. (Gem::LoadError)
  ```

This is similar to #45052.  Eventually, this should be fixed permanently by either rubygems/rubygems#5529 or rubygems/rubygems#5535.
"
